metros_cuadrados,baños,habitaciones,material,modelo,empresa,precio
81.0,2.0,3.0,madera,Alabama 3D,Alucasa,106865.0
20.0,1.0,2.0,madera,Penates XL,Serena.House,67087.0
52.0,2.0,1.0,madera,Larun,KBOST,
183.0,1.0,4.0,madera,Rosemary M,TUCASAECO SOSTENIBLE,
176.0,2.0,4.0,madera,Saturn,TUCASAECO SOSTENIBLE,
342.0,2.0,3.0,madera,Katrin,Kolbeg,530100.0
102.0,1.0,2.0,madera,Victoria,LuxServis Eco Edificaciones,102400.0
139.0,2.0,4.0,madera,Tetir,Madelar,
100.0,2.0,3.0,acero,Modelo 100003,Pro-Gal Construcciones Prefabricadas,100000.0
84.0,1.0,2.0,madera,Modelo Tukani,Grupo CUNI,126000.0
